NUMBER,CODE,SERIAL,NAME,FORM,TYPE1,TYPE2,CATEGORY,COLOR,ABILITY1,ABILITY2,ABILITY HIDDEN,GENERATION,LEGENDARY,MEGA,HEIGHT,WEIGHT,HP,ATK,DEF,SP ATK,SP DEF,SPD,TOTAL
293,1,29301,Whismur,,Normal,,,Pink,Soundproof,,Rattled,3,0,0,0.6,16.3,64,51,23,51,23,28,240
294,1,29401,Loudred,,Normal,,,Blue,Soundproof,,Scrappy,3,0,0,1,40.5,84,71,43,71,43,48,360
295,1,29501,Exploud,,Normal,,,Blue,Soundproof,,Scrappy,3,0,0,1.5,84,104,91,63,91,73,68,490
296,1,29601,Makuhita,,Fighting,,,Yellow,Thick Fat,Guts,Sheer Force,3,0,0,1,86.4,72,60,30,20,30,25,237
297,1,29701,Hariyama,,Fighting,,,Brown,Thick Fat,Guts,Sheer Force,3,0,0,2.3,253.8,144,120,60,40,60,50,474
298,1,29801,Azurill,,Normal,Fairy,,Blue,Thick Fat,Huge Power,Sap Sipper,3,0,0,0.2,2,50,20,40,20,40,20,190
299,1,29901,Nosepass,,Rock,,,Grey,Sturdy,Magnet Pull,Sand Force,3,0,0,1,97,30,45,135,45,90,30,375
300,1,30001,Skitty,,Normal,,,Pink,Cute Charm,Normalize,Wonder Skin,3,0,0,0.6,11,50,45,45,35,35,50,260
301,1,30101,Delcatty,,Normal,,,Purple,Cute Charm,Normalize,Wonder Skin,3,0,0,1.1,32.6,70,65,65,55,55,90,400
302,1,30201,Sableye,,Dark,Ghost,,Purple,Keen Eye,Stall,Prankster,3,0,0,0.5,11,50,75,75,65,65,50,380
302,2,30202,Sableye,Mega Sableye,Dark,Ghost,,Purple,Magic Bounce,,,3,0,1,0.5,161,50,85,125,85,115,20,480
303,1,30301,Mawile,,Steel,Fairy,,Black,Hyper Cutter,Intimidate,Sheer Force,3,0,0,0.6,11.5,50,85,85,55,55,50,380
303,2,30302,Mawile,Mega Mawile,Steel,Fairy,,Black,Huge Power,,,3,0,1,1,23.5,50,105,125,55,95,50,480
304,1,30401,Aron,,Steel,Rock,,Grey,Sturdy,Rock Head,Heavy Metal,3,0,0,0.4,60,50,70,100,40,40,30,330
305,1,30501,Lairon,,Steel,Rock,,Grey,Sturdy,Rock Head,Heavy Metal,3,0,0,0.9,120,60,90,140,50,50,40,430
306,1,30601,Aggron,,Steel,Rock,,Grey,Sturdy,Rock Head,Heavy Metal,3,0,0,2.1,360,70,110,180,60,60,50,530
306,2,30602,Aggron,Mega Aggron,Steel,,,Grey,Filter,,,3,0,1,2.2,395,70,140,230,60,80,50,630
307,1,30701,Meditite,,Fighting,Psychic,,Blue,Pure Power,,Telepathy,3,0,0,0.6,11.2,30,40,55,40,55,60,280
308,1,30801,Medicham,,Fighting,Psychic,,Red,Pure Power,,Telepathy,3,0,0,1.3,31.5,60,60,75,60,75,80,410
308,2,30802,Medicham,Mega Medicham,Fighting,Psychic,,Red,Pure Power,,,3,0,1,1.3,31.5,60,100,85,80,85,100,510
309,1,30901,Electrike,,Electric,,,Green,Static,Lightning Rod,Minus,3,0,0,0.6,15.2,40,45,40,65,40,65,295
310,1,31001,Manectric,,Electric,,,Yellow,Static,Lightning Rod,Minus,3,0,0,1.5,40.2,70,75,60,105,60,105,475
310,2,31002,Manectric,Mega Manectric,Electric,,,Yellow,Intimidate,,,3,0,1,1.8,44,70,75,80,135,80,135,575
311,1,31101,Plusle,,Electric,,,Yellow,Plus,,Lightning Rod,3,0,0,0.4,4.2,60,50,40,85,75,95,405
312,1,31201,Minun,,Electric,,,Yellow,Minus,,Lightning Rod,3,0,0,0.4,4.2,60,40,50,75,85,95,405
313,1,31301,Volbeat,,Bug,,,Grey,Illuminate,Swarm,Prankster,3,0,0,0.7,17.7,65,73,75,47,85,85,430
314,1,31401,Illumise,,Bug,,,Purple,Oblivious,Tinted Lens,Prankster,3,0,0,0.6,17.7,65,47,75,73,85,85,430
315,1,31501,Roselia,,Grass,Poison,,Green,Natural Cure,Poison Point,Leaf Guard,3,0,0,0.3,2,50,60,45,100,80,65,400
316,1,31601,Gulpin,,Poison,,,Green,Liquid Ooze,Sticky Hold,Gluttony,3,0,0,0.4,10.3,70,43,53,43,53,40,302
317,1,31701,Swalot,,Poison,,,Purple,Liquid Ooze,Sticky Hold,Gluttony,3,0,0,1.7,80,100,73,83,73,83,55,467
318,1,31801,Carvanha,,Water,Dark,,Red,Rough Skin,,Speed Boost,3,0,0,0.8,20.8,45,90,20,65,20,65,305
319,1,31901,Sharpedo,,Water,Dark,,Blue,Rough Skin,,Speed Boost,3,0,0,1.8,88.8,70,120,40,95,40,95,460
319,2,31902,Sharpedo,Mega Sharpedo,Water,Dark,,Blue,Strong Jaw,,,3,0,1,2.5,130.3,70,140,70,110,65,105,560
320,1,32001,Wailmer,,Water,,,Blue,Water Veil,Oblivious,Pressure,3,0,0,2,130,130,70,35,70,35,60,400
321,1,32101,Wailord,,Water,,,Blue,Water Veil,Oblivious,Pressure,3,0,0,14.5,398,170,90,45,90,45,60,500
322,1,32201,Numel,,Fire,Ground,,Yellow,Oblivious,Simple,Own Tempo,3,0,0,0.7,24,60,60,40,65,45,35,305
323,1,32301,Camerupt,,Fire,Ground,,Red,Magma Armor,Solid Rock,Anger Point,3,0,0,1.9,220,70,100,70,105,75,40,460
323,2,32302,Camerupt,Mega Camerupt,Fire,Ground,,Red,Sheer Force,,,3,0,1,2.5,320.5,70,120,100,145,105,20,560
324,1,32401,Torkoal,,Fire,,,Brown,White Smoke,Drought,Shell Armor,3,0,0,0.5,80.4,70,85,140,85,70,20,470
325,1,32501,Spoink,,Psychic,,,Black,Thick Fat,Own Tempo,Gluttony,3,0,0,0.7,30.6,60,25,35,70,80,60,330
326,1,32601,Grumpig,,Psychic,,,Purple,Thick Fat,Own Tempo,Gluttony,3,0,0,0.9,71.5,80,45,65,90,110,80,470
327,1,32701,Spinda,,Normal,,,Brown,Own Tempo,Tangled Feet,Contrary,3,0,0,1.1,5,60,60,60,60,60,60,360
328,1,32801,Trapinch,,Ground,,,Brown,Hyper Cutter,Arena Trap,Sheer Force,3,0,0,0.7,15,45,100,45,45,45,10,290
329,1,32901,Vibrava,,Ground,Dragon,,Green,Levitate,,,3,0,0,1.1,15.3,50,70,50,50,50,70,340
330,1,33001,Flygon,,Ground,Dragon,,Green,Levitate,,,3,0,0,2,82,80,100,80,80,80,100,520
331,1,33101,Cacnea,,Grass,,,Green,Sand Veil,,Water Absorb,3,0,0,0.4,51.3,50,85,40,85,40,35,335
332,1,33201,Cacturne,,Grass,Dark,,Green,Sand Veil,,Water Absorb,3,0,0,1.3,77.4,70,115,60,115,60,55,475
333,1,33301,Swablu,,Normal,Flying,,Blue,Natural Cure,,Cloud Nine,3,0,0,0.4,1.2,45,40,60,40,75,50,310
334,1,33401,Altaria,,Dragon,Flying,,Blue,Natural Cure,,Cloud Nine,3,0,0,1.1,20.6,75,70,90,70,105,80,490
334,2,33402,Altaria,Mega Altaria,Dragon,Fairy,,Blue,Pixilate,,,3,0,1,1.5,20.6,75,110,110,110,105,80,590
335,1,33501,Zangoose,,Normal,,,White,Immunity,,Toxic Boost,3,0,0,1.3,40.3,73,115,60,60,60,90,458
336,1,33601,Seviper,,Poison,,,Black,Shed Skin,,Infiltrator,3,0,0,2.7,52.5,73,100,60,100,60,65,458
337,1,33701,Lunatone,,Rock,Psychic,,Yellow,Levitate,,,3,0,0,1,168,90,55,65,95,85,70,460
338,1,33801,Solrock,,Rock,Psychic,,Red,Levitate,,,3,0,0,1.2,154,90,95,85,55,65,70,460
339,1,33901,Barboach,,Water,Ground,,Grey,Oblivious,Anticipation,Hydration,3,0,0,0.4,1.9,50,48,43,46,41,60,288
340,1,34001,Whiscash,,Water,Ground,,Blue,Oblivious,Anticipation,Hydration,3,0,0,0.9,23.6,110,78,73,76,71,60,468
341,1,34101,Corphish,,Water,,,Red,Hyper Cutter,Shell Armor,Adaptability,3,0,0,0.6,11.5,43,80,65,50,35,35,308
342,1,34201,Crawdaunt,,Water,Dark,,Red,Hyper Cutter,Shell Armor,Adaptability,3,0,0,1.1,32.8,63,120,85,90,55,55,468
343,1,34301,Baltoy,,Ground,Psychic,,Brown,Levitate,,,3,0,0,0.5,21.5,40,40,55,40,70,55,300
344,1,34401,Claydol,,Ground,Psychic,,Black,Levitate,,,3,0,0,1.5,108,60,70,105,70,120,75,500
345,1,34501,Lileep,,Rock,Grass,,Purple,Suction Cups,,Storm Drain,3,0,0,1,23.8,66,41,77,61,87,23,355
346,1,34601,Cradily,,Rock,Grass,,Green,Suction Cups,,Storm Drain,3,0,0,1.5,60.4,86,81,97,81,107,43,495
347,1,34701,Anorith,,Rock,Bug,,Grey,Battle Armor,,Swift Swim,3,0,0,0.7,12.5,45,95,50,40,50,75,355
348,1,34801,Armaldo,,Rock,Bug,,Grey,Battle Armor,,Swift Swim,3,0,0,1.5,68.2,75,125,100,70,80,45,495
349,1,34901,Feebas,,Water,,,Brown,Swift Swim,Oblivious,Adaptability,3,0,0,0.6,7.4,20,15,20,10,55,80,200
350,1,35001,Milotic,,Water,,,Pink,Marvel Scale,Competitive,Cute Charm,3,0,0,6.2,162,95,60,79,100,125,81,540
351,1,35101,Castform,Normal,Normal,,,Grey,Forecast,,,3,0,0,0.3,0.8,70,70,70,70,70,70,420
351,2,35102,Castform,Sunny,Fire,,,Red,Forecast,,,3,0,0,0.3,0.8,70,70,70,70,70,70,420
351,3,35103,Castform,Rainy,Water,,,Blue,Forecast,,,3,0,0,0.3,0.8,70,70,70,70,70,70,420
351,4,35104,Castform,Snowy,Ice,,,White,Forecast,,,3,0,0,0.3,0.8,70,70,70,70,70,70,420
352,1,35201,Kecleon,,Normal,,,Green,Color Change,,Protean,3,0,0,1,22,60,90,70,60,120,40,440
353,1,35301,Shuppet,,Ghost,,,Black,Insomnia,Frisk,Cursed Body,3,0,0,0.6,2.3,44,75,35,63,33,45,295
354,1,35401,Banette,,Ghost,,,Black,Insomnia,Frisk,Cursed Body,3,0,0,1.1,12.5,64,115,65,83,63,65,455
354,2,35402,Banette,Mega Banette,Ghost,,,Black,Prankster,,,3,0,1,1.2,13,64,165,75,93,83,75,555
355,1,35501,Duskull,,Ghost,,,Black,Levitate,,Frisk,3,0,0,0.8,15,20,40,90,30,90,25,295
356,1,35601,Dusclops,,Ghost,,,Black,Pressure,,Frisk,3,0,0,1.6,30.6,40,70,130,60,130,25,455
357,1,35701,Tropius,,Grass,Flying,,Green,Chlorophyll,Solar Power,Harvest,3,0,0,2,100,99,68,83,72,87,51,460
358,1,35801,Chimecho,,Psychic,,,Blue,Levitate,,,3,0,0,0.6,1,75,50,80,95,90,65,455
359,1,35901,Absol,,Dark,,,White,Pressure,Super Luck,Justified,3,0,0,1.2,47,65,130,60,75,60,75,465
359,2,35902,Absol,Mega Absol,Dark,,,White,Magic Bounce,,,3,0,1,1.2,49,65,150,60,115,60,115,565
360,1,36001,Wynaut,,Psychic,,,Blue,Shadow Tag,,Telepathy,3,0,0,0.6,14,95,23,48,23,48,23,260
361,1,36101,Snorunt,,Ice,,,Grey,Inner Focus,Ice Body,Moody,3,0,0,0.7,16.8,50,50,50,50,50,50,300
362,1,36201,Glalie,,Ice,,,Grey,Inner Focus,Ice Body,Moody,3,0,0,1.5,256.5,80,80,80,80,80,80,480
362,2,36202,Glalie,Mega Glalie,Ice,,,Grey,Refrigerate,,,3,0,1,2.1,350.2,80,120,80,120,80,100,580
363,1,36301,Spheal,,Ice,Water,,Blue,Thick Fat,Ice Body,Oblivious,3,0,0,0.8,39.5,70,40,50,55,50,25,290
364,1,36401,Sealeo,,Ice,Water,,Blue,Thick Fat,Ice Body,Oblivious,3,0,0,1.1,87.6,90,60,70,75,70,45,410
365,1,36501,Walrein,,Ice,Water,,Blue,Thick Fat,Ice Body,Oblivious,3,0,0,1.4,150.6,110,80,90,95,90,65,530
366,1,36601,Clamperl,,Water,,,Blue,Shell Armor,,Rattled,3,0,0,0.4,52.5,35,64,85,74,55,32,345
367,1,36701,Huntail,,Water,,,Blue,Swift Swim,,Water Veil,3,0,0,1.7,27,55,104,105,94,75,52,485
368,1,36801,Gorebyss,,Water,,,Pink,Swift Swim,,Hydration,3,0,0,1.8,22.6,55,84,105,114,75,52,485
369,1,36901,Relicanth,,Water,Rock,,Grey,Swift Swim,,Sturdy,3,0,0,1,23.4,100,90,130,45,65,55,485
370,1,37001,Luvdisc,,Water,,,Pink,Swift Swim,,Hydration,3,0,0,0.6,8.7,43,30,55,40,65,97,330
371,1,37101,Bagon,,Dragon,,,Blue,Rock Head,,Sheer Force,3,0,0,0.6,42.1,45,75,60,40,30,50,300
372,1,37201,Shelgon,,Dragon,,,White,Rock Head,,Overcoat,3,0,0,1.1,110.5,65,95,100,60,50,50,420
373,1,37301,Salamence,,Dragon,Flying,,Blue,Intimidate,,Moxie,3,0,0,1.5,102.6,95,135,80,110,80,100,600
373,2,37302,Salamence,Mega Salamence,Dragon,Flying,,Blue,Aerilate,,,3,0,1,1.8,112.6,95,145,130,120,90,120,700
374,1,37401,Beldum,,Steel,Psychic,,Blue,Clear Body,,Light Metal,3,0,0,0.6,95.2,40,55,80,35,60,30,300
375,1,37501,Metang,,Steel,Psychic,,Blue,Clear Body,,Light Metal,3,0,0,1.2,202.5,60,75,100,55,80,50,420
376,1,37601,Metagross,,Steel,Psychic,,Blue,Clear Body,,Light Metal,3,0,0,1.6,550,80,135,130,95,90,70,600
376,2,37602,Metagross,Mega Metagross,Steel,Psychic,,Blue,Tough Claws,,,3,0,1,2.5,942.9,80,145,150,105,110,110,700
377,1,37701,Regirock,,Rock,,,Brown,Clear Body,,Sturdy,3,1,0,1.7,230,80,100,200,50,100,50,580
378,1,37801,Regice,,Ice,,,Blue,Clear Body,,Ice Body,3,1,0,1.8,175,80,50,100,100,200,50,580
379,1,37901,Registeel,,Steel,,,Grey,Clear Body,,Light Metal,3,1,0,1.9,205,80,75,150,75,150,50,580
380,1,38001,Latias,,Dragon,Psychic,,Red,Levitate,,,3,1,0,1.4,40,80,80,90,110,130,110,600
380,2,38002,Latias,Mega Latias,Dragon,Psychic,,Purple,Levitate,,,3,1,1,1.8,52,80,100,120,140,150,110,700
381,1,38101,Latios,,Dragon,Psychic,,Blue,Levitate,,,3,1,0,2,60,80,90,80,130,110,110,600
381,2,38102,Latios,Mega Latios,Dragon,Psychic,,Purple,Levitate,,,3,1,1,2.3,70,80,130,100,160,120,110,700
382,1,38201,Kyogre,,Water,,,Blue,Drizzle,,,3,1,0,4.5,352,100,100,90,150,140,90,670
382,2,38202,Kyogre,Primal Kyogre,Water,,,Blue,Primordial Sea,,,3,1,1,9.8,430,100,150,90,180,160,90,770
383,1,38301,Groudon,,Ground,,,Red,Drought,,,3,1,0,3.5,950,100,150,140,100,90,90,670
383,2,38302,Groudon,Primal Groudon,Ground,Fire,,Red,Desolate Land,,,3,1,1,5,999.7,100,180,160,150,90,90,770
384,1,38401,Rayquaza,,Dragon,Flying,,Green,Air Lock,,,3,1,0,7,206.5,105,150,90,150,90,95,680
384,2,38402,Rayquaza,Mega Rayquaza,Dragon,Flying,,Green,Delta Stream,,,3,1,1,10.8,392,105,180,100,180,100,115,780
385,1,38501,Jirachi,,Steel,Psychic,,Yellow,Serene Grace,,,3,1,0,0.3,1.1,100,100,100,100,100,100,600
386,1,38601,Deoxys,Normal Forme,Psychic,,,Red,Pressure,,,3,1,0,1.7,60.8,50,150,50,150,50,150,600
386,2,38602,Deoxys,Attack Forme,Psychic,,,Red,Pressure,,,3,1,0,1.7,60.8,50,180,20,180,20,150,600
386,3,38603,Deoxys,Defense Forme,Psychic,,,Red,Pressure,,,3,1,0,1.7,60.8,50,70,160,70,160,90,600
386,4,38604,Deoxys,Speed Forme,Psychic,,,Red,Pressure,,,3,1,0,1.7,60.8,50,95,90,95,90,180,600
387,1,38701,Turtwig,,Grass,,,Green,Overgrow,,Shell Armor,4,0,0,0.4,10.2,55,68,64,45,55,31,318
388,1,38801,Grotle,,Grass,,,Green,Overgrow,,Shell Armor,4,0,0,1.1,97,75,89,85,55,65,36,405
389,1,38901,Torterra,,Grass,Ground,,Green,Overgrow,,Shell Armor,4,0,0,2.2,310,95,109,105,75,85,56,525
390,1,39001,Chimchar,,Fire,,,Brown,Blaze,,Iron Fist,4,0,0,0.5,6.2,44,58,44,58,44,61,309
391,1,39101,Monferno,,Fire,Fighting,,Brown,Blaze,,Iron Fist,4,0,0,0.9,22,64,78,52,78,52,81,405
392,1,39201,Infernape,,Fire,Fighting,,Brown,Blaze,,Iron Fist,4,0,0,1.2,55,76,104,71,104,71,108,534
393,1,39301,Piplup,,Water,,,Blue,Torrent,,Defiant,4,0,0,0.4,5.2,53,51,53,61,56,40,314
394,1,39401,Prinplup,,Water,,,Blue,Torrent,,Defiant,4,0,0,0.8,23,64,66,68,81,76,50,405
395,1,39501,Empoleon,,Water,Steel,,Blue,Torrent,,Defiant,4,0,0,1.7,84.5,84,86,88,111,101,60,530
396,1,39601,Starly,,Normal,Flying,,Brown,Keen Eye,,Reckless,4,0,0,0.3,2,40,55,30,30,30,60,245
397,1,39701,Staravia,,Normal,Flying,,Brown,Intimidate,,Reckless,4,0,0,0.6,15.5,55,75,50,40,40,80,340
398,1,39801,Staraptor,,Normal,Flying,,Brown,Intimidate,,Reckless,4,0,0,1.2,24.9,85,120,70,50,60,100,485
399,1,39901,Bidoof,,Normal,,,Brown,Simple,Unaware,Moody,4,0,0,0.5,20,59,45,40,35,40,31,250
400,1,40001,Bibarel,,Normal,Water,,Brown,Simple,Unaware,Moody,4,0,0,1,31.5,79,85,60,55,60,71,410
401,1,40101,Kricketot,,Bug,,,Red,Shed Skin,,Run Away,4,0,0,0.3,2.2,37,25,41,25,41,25,194
402,1,40201,Kricketune,,Bug,,,Red,Swarm,,Technician,4,0,0,1,25.5,77,85,51,55,51,65,384
403,1,40301,Shinx,,Electric,,,Blue,Rivalry,Intimidate,Guts,4,0,0,0.5,9.5,45,65,34,40,34,45,263
404,1,40401,Luxio,,Electric,,,Blue,Rivalry,Intimidate,Guts,4,0,0,0.9,30.5,60,85,49,60,49,60,363
405,1,40501,Luxray,,Electric,,,Blue,Rivalry,Intimidate,Guts,4,0,0,1.4,42,80,120,79,95,79,70,523
406,1,40601,Budew,,Grass,Poison,,Green,Natural Cure,Poison Point,Leaf Guard,4,0,0,0.2,1.2,40,30,35,50,70,55,280
407,1,40701,Roserade,,Grass,Poison,,Green,Natural Cure,Poison Point,Technician,4,0,0,0.9,14.5,60,70,65,125,105,90,515
408,1,40801,Cranidos,,Rock,,,Blue,Mold Breaker,,Sheer Force,4,0,0,0.9,31.5,67,125,40,30,30,58,350
409,1,40901,Rampardos,,Rock,,,Blue,Mold Breaker,,Sheer Force,4,0,0,1.6,102.5,97,165,60,65,50,58,495
410,1,41001,Shieldon,,Rock,Steel,,Grey,Sturdy,,Soundproof,4,0,0,0.5,57,30,42,118,42,88,30,350
411,1,41101,Bastiodon,,Rock,Steel,,Grey,Sturdy,,Soundproof,4,0,0,1.3,149.5,60,52,168,47,138,30,495
412,1,41201,Burmy,Plant Cloak,Bug,,,Green,Shed Skin,,Overcoat,4,0,0,0.2,3.4,40,29,45,29,45,36,224
412,2,41202,Burmy,Sandy Cloak,Bug,,,Brown,Shed Skin,,Overcoat,4,0,0,0.2,3.4,40,29,45,29,45,36,224
412,3,41203,Burmy,Trash Cloak,Bug,,,Red,Shed Skin,,Overcoat,4,0,0,0.2,3.4,40,29,45,29,45,36,224
413,1,41301,Wormadam,Plant Cloak,Bug,Grass,,Green,Anticipation,,Overcoat,4,0,0,0.5,6.5,60,59,85,79,105,36,424
413,2,41302,Wormadam,Sandy Cloak,Bug,Ground,,Brown,Anticipation,,Overcoat,4,0,0,0.5,6.5,60,79,105,59,85,36,424
413,3,41303,Wormadam,Trash Cloak,Bug,Steel,,Red,Anticipation,,Overcoat,4,0,0,0.5,6.5,60,69,95,69,95,36,424
414,1,41401,Mothim,,Bug,Flying,,Yellow,Swarm,,Tinted Lens,4,0,0,0.9,23.3,70,94,50,94,50,66,424
415,1,41501,Combee,,Bug,Flying,,Yellow,Honey Gather,,Hustle,4,0,0,0.3,5.5,30,30,42,30,42,70,244
416,1,41601,Vespiquen,,Bug,Flying,,Yellow,Pressure,,Unnerve,4,0,0,1.2,38.5,70,80,102,80,102,40,474
417,1,41701,Pachirisu,,Electric,,,White,Run Away,Pickup,Volt Absorb,4,0,0,0.4,3.9,60,45,70,45,90,95,405
418,1,41801,Buizel,,Water,,,Brown,Swift Swim,,Water Veil,4,0,0,0.7,29.5,55,65,35,60,30,85,330
419,1,41901,Floatzel,,Water,,,Brown,Swift Swim,,Water Veil,4,0,0,1.1,33.5,85,105,55,85,50,115,495
420,1,42001,Cherubi,,Grass,,,Pink,Chlorophyll,,,4,0,0,0.4,3.3,45,35,45,62,53,35,275
421,1,42101,Cherrim,Overcast,Grass,,,Pink,Flower Gift,,,4,0,0,0.5,9.3,70,60,70,87,78,85,450
421,2,42102,Cherrim,Sunshine,Grass,,,Purple,Flower Gift,,,4,0,0,0.5,9.3,70,60,70,87,78,85,450
422,1,42201,Shellos,West Sea,Water,,,Pink,Sticky Hold,Storm Drain,Sand Force,4,0,0,0.3,6.3,76,48,48,57,62,34,325
422,2,42202,Shellos,East Sea,Water,,,Blue,Sticky Hold,Storm Drain,Sand Force,4,0,0,0.3,6.3,76,48,48,57,62,34,325
423,1,42301,Gastrodon,West Sea,Water,Ground,,Purple,Sticky Hold,Storm Drain,Sand Force,4,0,0,0.9,29.9,111,83,68,92,82,39,475
423,2,42302,Gastrodon,East Sea,Water,Ground,,Blue,Sticky Hold,Storm Drain,Sand Force,4,0,0,0.9,29.9,111,83,68,92,82,39,475
424,1,42401,Ambipom,,Normal,,,Purple,Technician,Pickup,Skill Link,4,0,0,1.2,20.3,75,100,66,60,66,115,482
425,1,42501,Drifloon,,Ghost,Flying,,Purple,Aftermath,Unburden,Flare Boost,4,0,0,0.4,1.2,90,50,34,60,44,70,348
426,1,42601,Drifblim,,Ghost,Flying,,Purple,Aftermath,Unburden,Flare Boost,4,0,0,1.2,15,150,80,44,90,54,80,498
427,1,42701,Buneary,,Normal,,,Brown,Run Away,Klutz,Limber,4,0,0,0.4,5.5,55,66,44,44,56,85,350
428,1,42801,Lopunny,,Normal,,,Brown,Cute Charm,Klutz,Limber,4,0,0,1.2,33.3,65,76,84,54,96,105,480
428,2,42802,Lopunny,Mega Lopunny,Normal,Fighting,,Brown,Scrappy,,,4,0,1,1.3,28.3,65,136,94,54,96,135,580
429,1,42901,Mismagius,,Ghost,,,Purple,Levitate,,,4,0,0,0.9,4.4,60,60,60,105,105,105,495
430,1,43001,Honchkrow,,Dark,Flying,,Black,Insomnia,Super Luck,Moxie,4,0,0,0.9,27.3,100,125,52,105,52,71,505
431,1,43101,Glameow,,Normal,,,Grey,Limber,Own Tempo,Keen Eye,4,0,0,0.5,3.9,49,55,42,42,37,85,310
432,1,43201,Purugly,,Normal,,,Grey,Thick Fat,Own Tempo,Defiant,4,0,0,1,43.8,71,82,64,64,59,112,452
433,1,43301,Chingling,,Psychic,,,Yellow,Levitate,,,4,0,0,0.2,0.6,45,30,50,65,50,45,285
434,1,43401,Stunky,,Poison,Dark,,Purple,Stench,Aftermath,Keen Eye,4,0,0,0.4,19.2,63,63,47,41,41,74,329
435,1,43501,Skuntank,,Poison,Dark,,Purple,Stench,Aftermath,Keen Eye,4,0,0,1,38,103,93,67,71,61,84,479
436,1,43601,Bronzor,,Steel,Psychic,,Green,Levitate,Heatproof,Heavy Metal,4,0,0,0.5,60.5,57,24,86,24,86,23,300
437,1,43701,Bronzong,,Steel,Psychic,,Green,Levitate,Heatproof,Heavy Metal,4,0,0,1.3,187,67,89,116,79,116,33,500
438,1,43801,Bonsly,,Rock,,,Brown,Sturdy,Rock Head,Rattled,4,0,0,0.5,15,50,80,95,10,45,10,290
439,1,43901,Mime Jr.,,Psychic,Fairy,,Pink,Soundproof,Filter,Technician,4,0,0,0.6,13,20,25,45,70,90,60,310
440,1,44001,Happiny,,Normal,,,Pink,Natural cure,Serene Grace,Friend Guard,4,0,0,0.6,24.4,100,5,5,15,65,30,220
441,1,44101,Chatot,,Normal,Flying,,Black,Keen Eye,Tangled Feet,Big Pecks,4,0,0,0.5,1.9,76,65,45,92,42,91,411
442,1,44201,Spiritomb,,Ghost,Dark,,Purple,Pressure,,Infiltrator,4,0,0,1,108,50,92,108,92,108,35,485
443,1,44301,Gible,,Dragon,Ground,,Blue,Sand Veil,,Rough Skin,4,0,0,0.7,20.5,58,70,45,40,45,42,300
444,1,44401,Gabite,,Dragon,Ground,,Blue,Sand Veil,,Rough Skin,4,0,0,1.4,56,68,90,65,50,55,82,410
445,1,44501,Garchomp,,Dragon,Ground,,Blue,Sand Veil,,Rough Skin,4,0,0,1.9,95,108,130,95,80,85,102,600
445,2,44502,Garchomp,Mega Garchomp,Dragon,Ground,,Blue,Sand Force,,,4,0,1,1.9,95,108,170,115,120,95,92,700
446,1,44601,Munchlax,,Normal,,,Black,Pickup,Thick Fat,Gluttony,4,0,0,0.6,105,135,85,40,40,85,5,390
447,1,44701,Riolu,,Fighting,,,Blue,Steadfast,Inner Focus,Prankster,4,0,0,0.7,20.2,40,70,40,35,40,60,285
448,1,44801,Lucario,,Fighting,Steel,,Blue,Steadfast,Inner Focus,Justified,4,0,0,1.2,54,70,110,70,115,70,90,525
448,2,44802,Lucario,Mega Lucario,Fighting,Steel,,Blue,Adaptability,,,4,0,1,1.3,57.5,70,145,88,140,70,112,625
449,1,44901,Hippopotas,,Ground,,,Brown,Sand Stream,,Sand Force,4,0,0,0.8,49.5,68,72,78,38,42,32,330
450,1,45001,Hippowdon,,Ground,,,Brown,Sand Stream,,Sand Force,4,0,0,2,300,108,112,118,68,72,47,525
451,1,45101,Skorupi,,Poison,Bug,,Purple,Battle Armor,Sniper,Keen Eye,4,0,0,0.8,12,40,50,90,30,55,65,330
452,1,45201,Drapion,,Poison,Dark,,Purple,Battle Armor,Sniper,Keen Eye,4,0,0,1.3,61.5,70,90,110,60,75,95,500
453,1,45301,Croagunk,,Poison,Fighting,,Blue,Anticipation,Dry Skin,Poison Touch,4,0,0,0.7,23,48,61,40,61,40,50,300
454,1,45401,Toxicroak,,Poison,Fighting,,Blue,Anticipation,Dry Skin,Poison Touch,4,0,0,1.3,44.4,83,106,65,86,65,85,490
455,1,45501,Carnivine,,Grass,,,Green,Levitate,,,4,0,0,1.4,27,74,100,72,90,72,46,454
456,1,45601,Finneon,,Water,,,Blue,Swift Swim,Storm Drain,Water Veil,4,0,0,0.4,7,49,49,56,49,61,66,330
457,1,45701,Lumineon,,Water,,,Blue,Swift Swim,Storm Drain,Water Veil,4,0,0,1.2,24,69,69,76,69,86,91,460
458,1,45801,Mantyke,,Water,Flying,,Blue,Swift Swim,Water Absorb,Water Veil,4,0,0,1,65,45,20,50,60,120,50,345
459,1,45901,Snover,,Grass,Ice,,White,Snow Warning,,Soundproof,4,0,0,1,50.5,60,62,50,62,60,40,334
460,1,46001,Abomasnow,,Grass,Ice,,White,Snow Warning,,Soundproof,4,0,0,2.2,135.5,90,92,75,92,85,60,494
460,2,46002,Abomasnow,Mega Abomasnow,Grass,Ice,,White,Snow Warning,,,4,0,1,2.7,185,90,132,105,132,105,30,594
461,1,46101,Weavile,,Dark,Ice,,Black,Pressure,,Pickpocket,4,0,0,1.1,34,70,120,65,45,85,125,510
462,1,46201,Magnezone,,Electric,Steel,,Grey,Magnet Pull,Sturdy,Analytic,4,0,0,1.2,180,70,70,115,130,90,60,535
